a_identifiant	000d5950	1459	1649898699	1	1.000	1
a_identifiant	000d5950	1460	1540882567	1	1.000	1
# (a) 000d5950 : non jugeable (aucun slot a 10 emissions)
# (b) 000d5950 : aucune rampe
# (c) TAG 4 (R32) 000d5950 : aucune valeur
c_etat	000d5950	TAG 1 (enumere)	1458	1	1
# (c/TAG 1 (enumere)) 000d5950 : oracle absent (famille none)
# (d) 000d5950 : aucune rampe
d_joueur	000d5950	0	12	7
d_joueur	000d5950	1	18	6
d_joueur	000d5950	2	17	13
d_joueur	000d5950	3	7	5
d_joueur	000d5950	4	5	5
d_joueur	000d5950	5	3	3
d_joueur	000d5950	6	16	7
d_joueur	000d5950	7	6	5
d_joueur	000d5950	8	5	4
d_joueur	000d5950	9	12	10
d_joueur	000d5950	10	2	2
d_joueur	000d5950	11	3	3
d_joueur	000d5950	12	5	4
d_joueur	000d5950	13	4	4
d_joueur	000d5950	14	15	11
d_joueur	000d5950	15	5	3
d_joueur	000d5950	16	12	9
d_joueur	000d5950	17	6	4
d_joueur	000d5950	18	12	6
d_joueur	000d5950	19	3	3
d_joueur	000d5950	20	6	3
d_joueur	000d5950	21	4	4
d_joueur	000d5950	22	3	2
d_joueur	000d5950	23	10	7
d_joueur	000d5950	24	4	4
d_joueur	000d5950	25	2	2
d_joueur	000d5950	26	4	4
d_joueur	000d5950	27	3	3
d_joueur	000d5950	28	2	2
d_joueur	000d5950	29	6	6
d_joueur	000d5950	30	11	9
d_joueur	000d5950	31	4	4
# (d bis) 000d5950 : 556 echantillons par joueur, 32 index de joueur
